Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,No_of_Votes,Publish_Date,Publish_year
Clifford's War: The Bluegrass Battleground,-,J. Denison Reed ,Action-Adventure,4.42,33,16,4,2021-05-27,2021
Jurassic Park ,Jurassic Park,Michael Crichton,Action-Adventure,4.09,944442,19172,307,1990-07-11,1990
Sunburst ,Sky King Ranch,Susan May Warren ,Action-Adventure,4.43,1467,335,2,2022-01-06,2022
The Paris Apartment,-,Lucy Foley ,Action-Adventure,3.67,473386,40240,3,2022-02-22,2022
Dempsey ,Tier One,Brian  Andrews ,Action-Adventure,4.58,1708,86,13,2023-02-21,2023
The Stranger,-,Albert Camus,Action-Adventure,4.02,1052428,46265,3,1942-05-19,1942
She: A History of Adventure ,She,H. Rider Haggard,Action-Adventure,3.57,12879,1168,10,1887-01-01,1887
Riptide - Mörderische Flut,-,Douglas Preston ,Action-Adventure,3.97,19548,805,31,1998-01-06,1998
Performance Anomalies,-,Victor Robert Lee ,Action-Adventure,3.66,162,89,4,2012-12-20,2012
The Hobbit ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.29,3872315,68421,291,1937-09-21,1937
The Woman in the Window,-,A.J. Finn,Action-Adventure,3.95,759175,58768,9,2018-02-01,2018
Desperation in Death ,In Death,J.D. Robb ,Action-Adventure,4.58,22037,1655,3,2022-06-09,2022
Troubled Sea,-,Jinx Schwartz ,Action-Adventure,4.18,1367,129,2,2009-12-05,2009
The Rose Code,-,Kate Quinn ,Action-Adventure,4.46,233104,20929,13,2021-09-03,2021
The Subtle Knife ,His Dark Materials,Philip Pullman,Action-Adventure,4.15,430815,12635,3,1997-07-22,1997
Defender of the North ,Defender of England,Corey Holst ,Action-Adventure,4.29,28,7,3,2011-12-01,2011
The Hunger Games ,The Hunger Games,Suzanne Collins,Action-Adventure,4.33,8444021,212733,252,2008-09-14,2008
Front Lines ,Front Lines,Michael  Grant ,Action-Adventure,4.09,5976,1036,2,2016-01-26,2016
Altar of Eden,-,James Rollins ,Action-Adventure,4.04,19484,1009,6,2009-10-12,2009
Naked in Death ,In Death,J.D. Robb ,Action-Adventure,4.13,190510,7534,3,1995-01-07,1995
The Surgeon,-,Leslie Wolfe ,Action-Adventure,3.96,28376,1700,13,2023-03-28,2023
Code Red ,Mitch Rapp,Vince Flynn,Action-Adventure,4.43,10303,435,30,2023-12-09,2023
Reliquary ,Pendergast,Douglas Preston ,Action-Adventure,4.03,46171,1852,10,1997-01-01,1997
Cat's Cradle,-,Kurt Vonnegut Jr.,Action-Adventure,4.16,397192,14901,4,1963-01-01,1963
The Fellowship of the Ring ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.39,2769394,37693,229,1954-07-29,1954
Silent Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.14,25989,698,3,1992-01-01,1992
Seven Deadly Wonders ,Jack West Jr,Matthew Reilly,Action-Adventure,4.09,28352,1363,30,2005-12-20,2005
Ward D,-,Freida McFadden ,Action-Adventure,4.05,109660,8034,13,2023-08-05,2023
Enemy Of My Enemy,-,Travis Casey ,Action-Adventure,4.19,58,12,7,2016-02-26,2016
Fear and Loathing in Las Vegas,-,Hunter S. Thompson,Action-Adventure,4.07,344774,8994,3,1971-07-07,1971
Bat Blood: The Devil's Claw,-,Richard Myerscough ,Action-Adventure,3.76,50,8,3,2013-07-02,2013
The Da Vinci Code ,Robert Langdon,Dan Brown ,Action-Adventure,3.91,2320841,54145,208,2003-03-18,2003
Factotum,-,Charles Bukowski,Action-Adventure,3.93,68931,2565,14,1975-01-01,1975
Nor the Years Condemn,-,Justin Sheedy,Action-Adventure,4.38,39,10,2,2011-10-09,2011
Orope - The White Snake ,Whisperers of the Gods,Guenevere Lee ,Action-Adventure,4.01,79,24,3,2018-06-03,2018
Locked On ,Jack Ryan Universe #14; Jack Ryan Jr.,Tom Clancy,Action-Adventure,4.09,15614,788,3,2011-12-13,2011
What She Found ,Tracy Crosswhite,Robert Dugoni ,Action-Adventure,4.39,21049,864,4,2022-08-23,2022
A Team of One: An Unsanctioned Asset Thriller ,The Unsanctioned Asset Series Book,Brad Lee,Action-Adventure,4.58,2498,84,29,2021-09-30,2021
Dancing Bear,-,Oren Sanderson ,Action-Adventure,3.65,84,11,3,2014-06-08,2014
The Lion's Game ,John Corey,Nelson DeMille ,Action-Adventure,4.22,37238,1550,15,2000-06-01,2000
Cinder ,The Lunar Chronicles,Marissa Meyer ,Action-Adventure,4.13,907050,68137,3,2012-03-01,2012
Cold Vengeance ,Pendergast,Douglas Preston ,Action-Adventure,4.11,25920,1581,3,2011-02-08,2011
A Town Like Alice,-,Nevil Shute,Action-Adventure,4.15,57477,4364,10,1950-01-01,1950
Wraith ,Nick Baron,James R. Hannibal ,Action-Adventure,4.06,102,14,3,2010-04-05,2010
Best Kept Secret ,The Clifton Chronicles,Jeffrey Archer ,Action-Adventure,4.03,47350,2797,5,2013-04-30,2013
The Girl with the Dragon Tattoo ,Millennium,Stieg Larsson,Action-Adventure,4.17,3134191,76653,192,2005-01-08,2005
The Great Action ,Super Indy Book,Alex Letner,Action-Adventure,4.77,69,3,3,2015-07-29,2015
The Tuzla Run,-,Robert  Davidson ,Action-Adventure,3.63,19,7,2,2010-01-01,2010
The Breach ,Travis Chase,Patrick  Lee ,Action-Adventure,4.01,9441,791,13,2009-10-12,2009
Logan's Run,-,William F. Nolan,Action-Adventure,3.65,11985,815,3,1967-01-01,1967
The Hourglass Throne ,The Tarot Sequence,K.D. Edwards ,Action-Adventure,4.58,4068,677,4,2022-05-17,2022
The Bourne Identity ,Jason Bourne,Robert Ludlum,Action-Adventure,4.05,430765,5373,145,1980-04-02,1980
The Alchemy Fire Murder: a Mary Wandwalker Mystery,-,Susan  Rowland ,Action-Adventure,4.31,5757,20,29,2023-02-15,2023
The Man in the Iron Mask,-,Alexandre Dumas,Action-Adventure,3.99,65385,1064,9,1850-01-01,1850
Riding the Devil ,Harry Bauer,Blake Banner,Action-Adventure,4.52,2969,39,12,2023-02-13,2023
In the Pines ,"Columbia River, #3; Mercy Kilpatrick",Kendra Elliot ,Action-Adventure,4.39,13625,446,4,2022-08-16,2022
Porno ,Mark Renton,Irvine Welsh,Action-Adventure,3.83,24890,705,3,2002-01-01,2002
Off the Grid ,Joe Pickett,C.J. Box,Action-Adventure,4.29,18913,1312,29,2016-08-03,2016
Street Raised,-,Pearce Hansen ,Action-Adventure,3.81,75,13,2,2006-01-11,2006
First Blood,-,David Morrell ,Action-Adventure,4.04,9505,860,8,1972-01-01,1972
The Count of Monte Cristo,-,Alexandre Dumas,Action-Adventure,4.3,903121,30882,138,1844-08-28,1844
The Chronicles of Narnia ,The Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.27,640775,12370,3,1956-01-01,1956
The Horror at Murden Cove ,A Thomas Austin Crime Thriller,D.D. Black,Action-Adventure,4.39,2089,63,12,2023-06-02,2023
The Inmate,-,Freida McFadden ,Action-Adventure,4.1,268371,21450,4,2022-06-13,2022
"Nocturne, Opus 1: Sea Foam",-,Norene Moskalski ,Action-Adventure,3.76,1450,14,2,2012-10-30,2012
River God,-,Wilbur Smith,Action-Adventure,4.22,40176,1843,8,1993-01-01,1993
The Hunt for Red October ,Jack Ryan,Tom Clancy,Action-Adventure,4.11,372369,4007,138,1984-10-28,1984
Murder Board ,Boston Crime Thriller,Brian Christopher Shea ,Action-Adventure,4.17,5542,157,12,2019-10-15,2019
The Princess Bride,-,William Goldman,Action-Adventure,4.27,890953,25430,31,1973-01-09,1973
Shadow Team GB ,Starbirth,J.M. Johnson ,Action-Adventure,4.76,98,12,7,2015-06-06,2015
The Hard Way ,Jack Reacher,Lee Child ,Action-Adventure,4.19,81273,3372,2,2006-05-16,2006
Hawke ,Alexander Hawke,Ted Bell ,Action-Adventure,3.89,7561,384,3,2003-03-06,2003
Blowback ,Scot Harvath,Brad Thor ,Action-Adventure,4.18,20346,616,13,2005-06-28,2005
The Return of the King ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.56,881832,17529,126,1955-10-20,1955
Primal Fear ,Vail/Stampler,William Diehl,Action-Adventure,4.23,9521,457,4,1992-01-26,1992
The Jester,-,James Patterson ,Action-Adventure,3.81,20144,1153,7,2003-03-03,2003
Sutherland's Rules,-,Dario Ciriello ,Action-Adventure,4.16,31,11,2,2013-01-02,2013
Divergent ,Divergent,Veronica Roth ,Action-Adventure,4.15,3891127,119358,120,2011-04-25,2011
The Perfect Child,-,Lucinda Berry ,Action-Adventure,4.06,109868,10575,4,2019-01-03,2019
Lonesome Dove ,Lonesome Dove,Larry McMurtry,Action-Adventure,4.53,185713,11213,31,1985-01-01,1985
The Informers,-,Bret Easton Ellis,Action-Adventure,3.39,18771,717,3,1994-07-26,1994
The Bourne Supremacy ,Jason Bourne,Robert Ludlum,Action-Adventure,4.11,178856,1386,14,1986-11-02,1986
Valor's Choice ,Confederation,Tanya Huff,Action-Adventure,3.99,8455,547,2,2000-01-04,2000
Big Trouble,-,Dave Barry ,Action-Adventure,3.83,14906,879,5,1999-09-13,1999
World Without End ,Kingsbridge,Ken Follett ,Action-Adventure,4.3,245860,13172,30,2007-04-10,2007
Red Rabbit ,Jack Ryan,Tom Clancy,Action-Adventure,3.73,31471,924,10,2002-08-26,2002
The Soul Whisperer: A Tale of Hidden Truths and Unspoken Possibilities,-,J.M. Harrison ,Action-Adventure,3.97,34,22,3,2016-02-26,2016
All Good People Here,-,Ashley Flowers ,Action-Adventure,3.85,188971,20422,4,2022-08-16,2022
Where the Deer Dwell,-,Dorothy Gravelle ,Action-Adventure,3.71,72,10,2,2012-07-05,2012
Nutshell,-,Ian McEwan ,Action-Adventure,3.68,52219,6370,2,2016-01-09,2016
A Game of Thrones ,A Song of Ice and Fire,George R.R. Martin,Action-Adventure,4.44,2448531,62576,118,1996-06-08,1996
The Afghan,-,Frederick Forsyth,Action-Adventure,3.75,13832,740,13,2006-08-22,2006
Kill Shot ,Mitch Rapp,Vince Flynn,Action-Adventure,4.31,53328,2364,9,2012-07-02,2012
