Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,Score,No_of_Votes,Publish_Year,Pages
Clifford's War: The Bluegrass Battleground,,J. Denison Reed ,Action-Adventure,4.42,33,16,398,4,"May 27, 2021",280
Jurassic Park ,Jurassic Park,Michael Crichton,Action-Adventure,4.09,"9,44,442","19,172","30,359",307,"November 7, 1990",466
Sunburst ,Sky King Ranch,Susan May Warren ,Action-Adventure,4.43,"1,467",335,191,2,"June 1, 2022",368
The Paris Apartment,,Lucy Foley ,Action-Adventure,3.67,"4,73,386","40,240",296,3,"February 22, 2022",360
Dempsey ,Tier One,Brian  Andrews ,Action-Adventure,4.58,"1,708",86,"1,260",13,"February 21, 2023",350
The Stranger,,Albert Camus,Action-Adventure,4.02,"10,52,428","46,265",210,3,"May 19, 1942",159
She: A History of Adventure ,She,H. Rider Haggard,Action-Adventure,3.57,"12,879","1,168",685,10,"January 1, 1887",317
Riptide - Mörderische Flut,,Douglas Preston ,Action-Adventure,3.97,"19,548",805,"2,904",31,"June 1, 1998",528
Performance Anomalies,,Victor Robert Lee ,Action-Adventure,3.66,162,89,397,4,"December 20, 2012",290
The Hobbit ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.29,"38,72,315","68,421","28,668",291,"September 21, 1937",366
The Woman in the Window,,A.J. Finn,Action-Adventure,3.95,"7,59,175","58,768",684,9,"January 2, 2018",455
Desperation in Death ,In Death,J.D. Robb ,Action-Adventure,4.58,"22,037","1,655",295,3,"September 6, 2022",368
Troubled Sea,,Jinx Schwartz ,Action-Adventure,4.18,"1,367",129,189,2,"May 12, 2009",360
The Rose Code,,Kate Quinn ,Action-Adventure,4.46,"2,33,104","20,929","1,257",13,"March 9, 2021",624
The Subtle Knife ,His Dark Materials,Philip Pullman,Action-Adventure,4.15,"4,30,815","12,635",208,3,"July 22, 1997",370
Defender of the North ,Defender of England,Corey Holst ,Action-Adventure,4.29,28,7,294,3,"January 12, 2011",370
The Hunger Games ,The Hunger Games,Suzanne Collins,Action-Adventure,4.33,"84,44,021","2,12,733","24,714",252,"September 14, 2008",374
Front Lines ,Front Lines,Michael  Grant ,Action-Adventure,4.09,"5,976","1,036",189,2,"January 26, 2016",548
Altar of Eden,,James Rollins ,Action-Adventure,4.04,"19,484","1,009",396,6,"December 10, 2009",398
Naked in Death ,In Death,J.D. Robb ,Action-Adventure,4.13,"1,90,510","7,534",206,3,"July 1, 1995",306
The Surgeon,,Leslie Wolfe ,Action-Adventure,3.96,"28,376","1,700","1,252",13,"March 28, 2023",290
Code Red ,Mitch Rapp,Vince Flynn,Action-Adventure,4.43,"10,303",435,"2,887",30,"September 12, 2023",384
Reliquary ,Pendergast,Douglas Preston ,Action-Adventure,4.03,"46,171","1,852",683,10,"January 1, 1997",464
Cat's Cradle,,Kurt Vonnegut Jr.,Action-Adventure,4.16,"3,97,192","14,901",294,4,"January 1, 1963",179
The Fellowship of the Ring ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.39,"27,69,394","37,693","22,332",229,"July 29, 1954",398
The Illusionary Six ,Six Chances,elmwynn,Action-Adventure,4.91,11,0,396,4,,
Silent Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.14,"25,989",698,189,3,"January 1, 1992",375
